City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Sepatan,ID,92.53,few clouds,-6.1189,106.575,Jaya Imperial Park Cluster Imperial Groove
8,Oktyabrskoye,RU,80.74,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
16,Abu Samrah,SY,84.29,clear sky,35.3029,37.1841,
19,Kirov,RU,87.26,scattered clouds,58.5966,49.6601,Art Hotel
22,Padang,ID,80.65,heavy intensity rain,-0.9492,100.3543,Mercure Padang
26,Butaritari,KI,83.1,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
38,Sabang,ID,82.56,light rain,5.8933,95.3214,Hotel Citra
41,Kashi,CN,89.37,clear sky,39.4547,75.9797,帕米尔青年旅舍
44,Nikolskoye,RU,87.8,scattered clouds,59.7035,30.7861,Tourist House - Sablino
47,Kampong Thum,KH,92.82,overcast clouds,12.7111,104.8887,Sambor Village Hotel
50,Linxia,CN,80.17,light rain,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
54,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
57,Port Elizabeth,ZA,82.09,clear sky,-33.918,25.5701,39 On Nile Guest House
62,Abu Kamal,SY,93.88,clear sky,34.4506,40.9171,محطة التلفاز
66,Thinadhoo,MV,83.05,broken clouds,0.5333,72.9333,
69,Faya,SA,85.42,few clouds,18.3851,42.4509,مقبرة ال مجمل
86,Zhangjiakou,CN,87.49,scattered clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
91,Adrar,MR,91.18,broken clouds,20.5022,-10.0711,
95,Rawa Mazowiecka,PL,87.71,scattered clouds,51.7644,20.2549,Obiekt Tatar - Usługi hotelarskie
102,Bengkulu,ID,83.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
106,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
109,Verkhoyansk,RU,80.38,few clouds,67.5447,133.385,
110,Eyl,SO,90.05,few clouds,7.9803,49.8164,Amiin Hotel
111,Jiayuguan,CN,82.38,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
113,Narasannapeta,IN,89.17,light rain,18.4167,84.05,G.lingaraju home
