City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,48.47,92,94,5.26,overcast clouds
1,Nizhniy Odes,RU,63.6445,54.856,67.19,54,79,3.53,broken clouds
2,Sepatan,ID,-6.1189,106.575,92.53,66,20,8.99,few clouds
3,Laguna,US,38.421,-121.4238,66.49,81,1,4.0,clear sky
4,Tasiilaq,GL,65.6145,-37.6368,42.96,72,0,6.64,clear sky
5,Talcahuano,CL,-36.7167,-73.1167,54.54,88,100,8.88,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,75.61,83,100,13.09,overcast clouds
7,Lebu,CL,-37.6167,-73.65,54.12,93,100,12.08,light rain
8,Oktyabrskoye,RU,43.0645,44.7417,80.74,54,31,4.47,scattered clouds
9,Carnarvon,AU,-24.8667,113.6333,63.75,52,0,18.32,clear sky
10,Busselton,AU,-33.65,115.3333,54.09,69,71,14.99,broken clouds
11,Albany,US,42.6001,-73.9662,69.28,83,100,1.99,overcast clouds
12,Hobart,AU,-42.8794,147.3294,46.11,91,0,8.05,clear sky
13,Vila Velha,BR,-20.3297,-40.2925,63.95,80,1,7.11,clear sky
14,Nuqui,CO,5.7125,-77.2708,76.1,87,96,2.17,light rain
15,Hirara,JP,24.8,125.2833,78.04,93,100,1.74,overcast clouds
16,Abu Samrah,SY,35.3029,37.1841,84.29,31,0,11.34,clear sky
17,Yellowknife,CA,62.456,-114.3525,57.56,54,100,8.01,overcast clouds
18,Hilo,US,19.7297,-155.09,72.81,91,81,1.59,broken clouds
19,Kirov,RU,58.5966,49.6601,87.26,38,46,8.46,scattered clouds
20,Vaini,TO,-21.2,-175.2,75.74,79,29,8.75,scattered clouds
21,Cherskiy,RU,68.75,161.3,68.92,39,81,3.69,broken clouds
22,Padang,ID,-0.9492,100.3543,80.65,85,96,9.15,heavy intensity rain
23,Santa Barbara,US,34.7333,-120.0343,54.82,88,90,0.0,overcast clouds
24,Camacha,PT,33.0833,-16.3333,65.62,68,75,5.75,broken clouds
25,Hasaki,JP,35.7333,140.8333,73.29,75,82,9.55,broken clouds
26,Butaritari,KI,3.0707,172.7902,83.1,71,28,7.2,scattered clouds
27,Provideniya,RU,64.3833,-173.3,49.95,70,61,4.03,broken clouds
28,Agadez,NE,19.75,10.25,97.34,8,13,15.48,few clouds
29,Ushuaia,AR,-54.8,-68.3,33.26,90,37,5.57,scattered clouds
30,Airai,TL,-8.9266,125.4092,64.53,89,95,0.54,overcast clouds
31,Morondava,MG,-20.2833,44.2833,78.66,46,0,6.31,clear sky
32,Baiao,BR,-2.7906,-49.6717,71.13,96,48,2.84,scattered clouds
33,Altagracia De Orituco,VE,9.8601,-66.3814,69.87,95,91,3.15,overcast clouds
34,Punta Arenas,CL,-53.15,-70.9167,36.48,78,81,9.48,broken clouds
35,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,8.05,broken clouds
36,Roma,US,43.2128,-75.4557,60.94,86,90,1.99,light rain
37,High Level,CA,58.5169,-117.136,59.11,88,90,3.44,overcast clouds
38,Sabang,ID,5.8933,95.3214,82.56,74,51,30.04,light rain
39,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,5.75,broken clouds
40,Bredasdorp,ZA,-34.5322,20.0403,67.28,59,0,20.45,clear sky
41,Kashi,CN,39.4547,75.9797,89.37,7,0,0.49,clear sky
42,Igarka,RU,67.4667,86.5833,40.89,92,100,19.35,light rain
43,Torbay,CA,47.6666,-52.7314,62.89,91,44,10.71,scattered clouds
44,Nikolskoye,RU,59.7035,30.7861,87.8,34,30,9.57,scattered clouds
45,Sunland Park,US,31.7965,-106.58,79.7,49,20,7.0,few clouds
46,Castro,BR,-24.7911,-50.0119,53.26,98,100,0.87,overcast clouds
47,Kampong Thum,KH,12.7111,104.8887,92.82,53,88,1.28,overcast clouds
