City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Gaitan,-21.3667,55.6167,76.21,60,45,9.66,RE,2021-06-19 08:07:24
1,Puerto Gaitan,-20.5167,57.5167,77.36,65,5,12.75,MU,2021-06-19 08:06:16
2,Puerto Gaitan,-33.5906,26.891,64.51,53,5,7.07,ZA,2021-06-19 08:02:44
3,Puerto Gaitan,-13.8483,136.4192,72.79,60,85,14.58,AU,2021-06-19 08:06:11
4,Puerto Gaitan,-8.7676,160.7034,78.73,80,100,3.96,SB,2021-06-19 08:07:24
5,Puerto Gaitan,-33.9258,18.4232,66.11,65,0,3.44,ZA,2021-06-19 08:01:07
6,Puerto Gaitan,40.8021,-124.1637,56.68,72,5,5.66,US,2021-06-19 08:03:36
7,Puerto Gaitan,59.7035,30.7861,82.8,40,0,8.32,RU,2021-06-19 08:05:55
8,Puerto Gaitan,-46.1927,168.8643,39.47,95,10,3.8,NZ,2021-06-19 08:05:50
9,Puerto Gaitan,55.1001,-105.2842,51.64,71,100,8.39,CA,2021-06-19 08:07:24
10,Puerto Gaitan,-33.0153,27.9116,65.34,32,0,6.91,ZA,2021-06-19 08:03:48
11,Puerto Gaitan,50.6789,156.125,43.0,94,100,5.23,RU,2021-06-19 08:06:05
12,Puerto Gaitan,-53.15,-70.9167,37.11,74,100,12.24,CL,2021-06-19 08:03:37
13,Puerto Gaitan,42.6001,-73.9662,68.67,74,79,2.84,US,2021-06-19 08:05:49
14,Puerto Gaitan,69.4865,88.3972,45.1,78,100,5.23,RU,2021-06-19 08:07:25
15,Puerto Gaitan,-31.5375,-68.5364,37.98,78,6,4.76,AR,2021-06-19 08:06:25
16,Puerto Gaitan,-22.9661,-42.0278,68.92,76,27,14.81,BR,2021-06-19 08:06:16
17,Puerto Gaitan,70.6345,29.7185,46.4,86,100,6.51,NO,2021-06-19 08:07:25
18,Puerto Gaitan,65.6145,-37.6368,35.76,69,2,3.69,GL,2021-06-19 08:05:57
19,Puerto Gaitan,-0.7393,-90.3518,73.54,91,33,7.0,EC,2021-06-19 08:02:46
20,Puerto Gaitan,-16.4833,-151.75,80.8,76,17,15.88,PF,2021-06-19 08:06:55
21,Puerto Gaitan,77.484,-69.3632,33.46,60,50,4.94,GL,2021-06-19 08:06:25
22,Puerto Gaitan,29.8458,-90.1067,78.01,83,90,4.0,US,2021-06-19 08:07:26
23,Puerto Gaitan,37.9887,-84.4777,68.56,86,75,11.5,US,2021-06-19 08:05:35
24,Puerto Gaitan,-20.4081,57.7,77.25,61,5,11.88,MU,2021-06-19 08:07:02
25,Puerto Gaitan,32.6667,-17.1,66.83,64,61,4.52,PT,2021-06-19 08:06:44
26,Puerto Gaitan,19.2167,-98.8083,58.03,89,100,2.21,MX,2021-06-19 08:07:26
27,Puerto Gaitan,-54.8,-68.3,37.71,97,100,6.71,AR,2021-06-19 08:01:07
28,Puerto Gaitan,22.0752,-159.319,75.52,83,40,11.5,US,2021-06-19 08:06:10
29,Puerto Gaitan,-33.65,115.3333,61.05,73,100,15.9,AU,2021-06-19 08:05:53
30,Puerto Gaitan,-21.3393,55.4781,77.29,65,0,16.11,RE,2021-06-19 08:06:06
31,Puerto Gaitan,18.7333,-103.6833,75.85,94,100,3.6,MX,2021-06-19 08:07:27
32,Puerto Gaitan,-42.8794,147.3294,51.03,88,75,8.05,AU,2021-06-19 08:06:09
33,Puerto Gaitan,33.3582,-94.2544,73.69,84,0,3.89,US,2021-06-19 08:07:27
34,Puerto Gaitan,43.7031,7.2661,77.0,61,0,3.44,FR,2021-06-19 08:07:00
35,Puerto Gaitan,-13.7,-76.2167,64.45,82,90,2.3,PE,2021-06-19 08:04:53
36,Puerto Gaitan,12.5847,-81.7006,82.42,83,75,10.36,CO,2021-06-19 08:06:45
37,Puerto Gaitan,61.994,-49.6678,41.7,76,100,20.62,GL,2021-06-19 08:07:27
38,Puerto Gaitan,20.8947,-156.47,75.85,82,1,14.97,US,2021-06-19 08:06:10
39,Puerto Gaitan,-26.6481,15.1594,77.2,27,5,13.89,NA,2021-06-19 08:06:40
40,Puerto Gaitan,-23.1203,-134.9692,75.15,69,100,19.89,PF,2021-06-19 08:05:50
41,Puerto Gaitan,5.9485,80.5353,87.46,63,27,15.55,LK,2021-06-19 08:07:28
42,Puerto Gaitan,1.7427,98.7792,85.77,58,80,5.75,ID,2021-06-19 08:07:14
43,Puerto Gaitan,55.2999,-123.1698,47.08,68,51,0.27,CA,2021-06-19 08:07:28
44,Puerto Gaitan,36.6177,-121.9166,66.45,91,1,3.0,US,2021-06-19 08:03:40
45,Puerto Gaitan,5.4112,100.3354,85.95,82,20,8.05,MY,2021-06-19 08:06:12
46,Puerto Gaitan,28.3667,129.4833,77.92,85,100,6.31,JP,2021-06-19 08:07:28
47,Puerto Gaitan,-15.2484,23.1274,72.84,33,0,11.16,ZM,2021-06-19 08:07:28
48,Puerto Gaitan,13.5828,-2.4216,88.11,44,79,8.08,BF,2021-06-19 08:07:29
49,Puerto Gaitan,24.6877,46.7219,102.34,9,0,16.11,SA,2021-06-19 08:06:26
50,Puerto Gaitan,57.5275,38.3317,78.35,53,30,9.53,RU,2021-06-19 08:07:29
51,Puerto Gaitan,-38.2667,141.9667,52.9,76,100,10.38,AU,2021-06-19 08:06:58
52,Puerto Gaitan,51.4617,-112.7101,58.06,79,100,15.32,CA,2021-06-19 08:07:29
53,Puerto Gaitan,70.0167,135.6,84.47,22,100,6.73,RU,2021-06-19 08:07:30
54,Puerto Gaitan,-37.6167,-73.65,46.65,84,0,3.06,CL,2021-06-19 08:06:29
55,Puerto Gaitan,10.5669,72.642,83.23,75,98,21.0,IN,2021-06-19 08:06:24
56,Puerto Gaitan,50.0333,12.0167,84.22,61,11,1.01,DE,2021-06-19 08:07:30
57,Puerto Gaitan,50.677,36.5532,77.04,50,0,17.9,RU,2021-06-19 08:07:30
58,Puerto Gaitan,13.0667,-59.5333,78.89,73,40,13.8,BB,2021-06-19 08:07:30
59,Puerto Gaitan,71.9167,114.0833,80.53,35,46,6.53,RU,2021-06-19 08:06:41
60,Puerto Gaitan,9.4942,50.8122,90.63,47,93,28.95,SO,2021-06-19 08:07:31
61,Puerto Gaitan,-8.19,114.9675,85.86,83,40,1.88,ID,2021-06-19 08:07:31
62,Puerto Gaitan,38.421,-121.4238,83.23,35,1,6.91,US,2021-06-19 08:07:14
63,Puerto Gaitan,-34.5833,150.8552,57.25,74,100,8.99,AU,2021-06-19 08:07:31
64,Puerto Gaitan,-34.5322,20.0403,60.6,56,4,4.41,ZA,2021-06-19 08:05:53
65,Puerto Gaitan,-24.7911,-50.0119,51.84,98,100,6.67,BR,2021-06-19 08:06:01
66,Puerto Gaitan,26.326,43.975,98.17,6,0,7.18,SA,2021-06-19 08:07:31
67,Puerto Gaitan,-6.2167,149.55,79.18,85,30,8.61,PG,2021-06-19 08:07:32
68,Puerto Gaitan,-9.8,-139.0333,79.41,77,33,22.41,PF,2021-06-19 08:05:57
69,Puerto Gaitan,-6.4781,-35.4339,68.47,94,22,7.18,BR,2021-06-19 08:07:32
70,Puerto Gaitan,54.4333,113.6,52.77,95,100,3.71,RU,2021-06-19 08:07:32
71,Puerto Gaitan,-22.6667,167.4833,73.49,78,67,17.45,NC,2021-06-19 08:07:32
72,Puerto Gaitan,-15.8631,-38.8828,68.5,87,100,10.27,BR,2021-06-19 08:07:33
73,Puerto Gaitan,56.3067,9.1684,76.48,70,49,11.5,DK,2021-06-19 08:07:33
74,Puerto Gaitan,-7.95,110.2833,63.61,74,74,6.46,ID,2021-06-19 08:03:03
75,Puerto Gaitan,39.2342,106.3439,84.11,11,56,7.85,CN,2021-06-19 08:07:33
76,Puerto Gaitan,-16.4096,-67.5263,57.34,91,84,1.83,BO,2021-06-19 08:07:33
77,Puerto Gaitan,39.05,-27.9833,65.84,85,8,14.23,PT,2021-06-19 08:06:15
78,Puerto Gaitan,18.6853,12.9164,98.24,10,3,4.97,NE,2021-06-19 08:06:12
79,Puerto Gaitan,-17.8,-63.1667,51.26,87,90,13.8,BO,2021-06-19 08:05:57
80,Puerto Gaitan,10.2849,22.7882,83.71,55,97,6.11,CF,2021-06-19 08:07:34
81,Puerto Gaitan,17.9583,-102.2,75.29,93,100,14.67,MX,2021-06-19 08:07:34
82,Puerto Gaitan,20.5,-99.0,58.87,91,100,1.59,MX,2021-06-19 08:07:34
83,Puerto Gaitan,55.7435,-97.8558,45.93,73,11,6.15,CA,2021-06-19 08:06:55
84,Puerto Gaitan,51.932,108.0747,82.15,22,27,11.3,RU,2021-06-19 08:07:35
85,Puerto Gaitan,71.2906,-156.7887,48.22,71,20,6.91,US,2021-06-19 08:05:05
86,Puerto Gaitan,41.2547,67.9692,94.48,17,4,7.87,KZ,2021-06-19 08:07:35
87,Puerto Gaitan,55.3422,-131.6461,53.58,82,90,3.44,US,2021-06-19 08:05:51
88,Puerto Gaitan,62.0788,150.477,67.03,38,60,14.5,RU,2021-06-19 08:07:35
89,Puerto Gaitan,48.9909,29.8047,71.33,74,20,9.26,UA,2021-06-19 08:07:35
90,Puerto Gaitan,5.3505,48.5268,84.92,61,18,25.86,SO,2021-06-19 08:07:36
91,Puerto Gaitan,9.1104,18.3463,86.11,50,94,7.56,TD,2021-06-19 08:07:36
92,Puerto Gaitan,-7.2597,-34.9075,71.06,94,0,5.75,BR,2021-06-19 08:07:36
93,Puerto Gaitan,-21.2,-175.2,73.56,94,20,5.75,TO,2021-06-19 08:05:54
94,Puerto Gaitan,29.9576,122.298,71.65,91,100,9.62,CN,2021-06-19 08:06:29
95,Puerto Gaitan,-14.9003,50.2788,75.45,84,27,11.1,MG,2021-06-19 08:07:37
